task_id,title,epic_id,feature_id,story_id,subsystem,description,reason,source_finding_ids,implementation_boundaries,likely_files,dependency_ids,prerequisite_decisions,acceptance_criteria,tests_required,documentation_required,security_impact,scientific_impact,data_migration_impact,rollout_requirement,rollback_requirement,priority,severity,effort,confidence,status,release_stage,sprint_id,milestone_id,blocked_by_external,owner_type,completion_evidence,created_date,updated_date
"AVA-0040","Replace deprecated lint command/hook warning","AVA-EPIC-016","AVA-FEAT-040","AVA-STORY-040","Quality","Implement and verify replace deprecated lint command/hook warning without replacing working systems.","Audited S3/P2 finding AVA-040.","AVA-040","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","","None","ESLint CLI clean","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P2","S3","S","Medium","Verified Complete","Foundation","SPRINT-01","M0","false","Backend Engineer","2026-07-18: DEC-008, eslint.config.mjs, ESLint CLI package entry and VideoOverlay dependency correction; lint completed with zero warnings","2026-07-18","2026-07-18"
"AVA-0041","Split session-page derivation","AVA-EPIC-016","AVA-FEAT-041","AVA-STORY-041","Web","Implement and verify split session-page derivation without replacing working systems.","Audited S3/P2 finding AVA-041.","AVA-041","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0017","","Typed selectors; behavior unchanged","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P2","S3","L","Medium","Ready","Foundation","SPRINT-11","M0","false","Backend Engineer","","2026-07-18","2026-07-18"
"AVA-0042","Performance/cost capacity validation","AVA-EPIC-011","AVA-FEAT-042","AVA-STORY-042","Ops","Implement and verify performance/cost capacity validation without replacing working systems.","Audited S2/P2 finding AVA-042.","AVA-042","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0002;AVA-0010","","Cohort SLO and budget pass","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P2","S2","L","Medium","Blocked","Staging","SPRINT-10","M1","true","DevOps or Platform Engineer","","2026-07-18","2026-07-18"
"AVA-0043","Notification provider/deep links","AVA-EPIC-015","AVA-FEAT-043","AVA-STORY-043","Mobile","Implement and verify notification provider/deep links without replacing working systems.","Audited S2/P2 finding AVA-043.","AVA-043","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0007;AVA-0023","","Consent/delivery/fallback tested","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P2","S2","L","Medium","Deferred","Coach operations","SPRINT-09","M5","false","Product or Operations Lead","","2026-07-18","2026-07-18"
"AVA-0044","Coach-admin operational tools","AVA-EPIC-015","AVA-FEAT-044","AVA-STORY-044","Ops","Implement and verify coach-admin operational tools without replacing working systems.","Audited S2/P2 finding AVA-044.","AVA-044","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0005;AVA-0010","","Least-privilege actions/audit","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P2","S2","L","Medium","Ready","Coach operations","SPRINT-10","M5","false","Product or Operations Lead","","2026-07-18","2026-07-18"
"AVA-0045","Retire mock default from generic production path","AVA-EPIC-005","AVA-FEAT-045","AVA-STORY-045","Analysis","Implement and verify retire mock default from generic production path without replacing working systems.","Audited S2/P2 finding AVA-045.","AVA-045","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","","Call-site audit","Production fails closed","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P2","S2","S","Medium","Verified Complete","Native vertical slice","SPRINT-06","M2","false","Computer Vision Engineer","2026-07-19 Sprint 06: explicit backend required; missing backend fails closed; pose/type/build pass","2026-07-18","2026-07-19"
"AVA-0046","Resolve zero-placeholder legacy consumers","AVA-EPIC-006","AVA-FEAT-046","AVA-STORY-046","Metrics","Implement and verify resolve zero-placeholder legacy consumers without replacing working systems.","Audited S1/P1 finding AVA-046.","AVA-046","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0017","","Null/availability everywhere","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","Direct","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S1","M","Medium","In Progress","Scientific beta","SPRINT-06","M3","false","Data or Scientific Engineer","2026-07-19 Sprint 06: nullable mapper passes; canonical consumers remain","2026-07-18","2026-07-19"
"AVA-0047","History compatibility/provenance filtering","AVA-EPIC-013","AVA-FEAT-047","AVA-STORY-047","History","Implement and verify history compatibility/provenance filtering without replacing working systems.","Audited S2/P1 finding AVA-047.","AVA-047","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0017","","Mixed versions not compared","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","Possible","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S2","M","Medium","In Progress","Scientific beta","SPRINT-06","M3","false","Data or Scientific Engineer","2026-07-19 Sprint 06: local provenance helpers exist; canonical history remains","2026-07-18","2026-07-19"
"AVA-0048","Benchmark dataset governance/population","AVA-EPIC-013","AVA-FEAT-048","AVA-STORY-048","Science","Implement and verify benchmark dataset governance/population without replacing working systems.","Audited S2/P2 finding AVA-048.","AVA-048","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0014","","Reviewed compatible cohorts","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","Direct","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P2","S2","XL","Medium","Deferred","Scientific beta","SPRINT-12","M3","true","Data or Scientific Engineer","","2026-07-18","2026-07-18"
"AVA-0049","Peak-velocity definition/reference decision","AVA-EPIC-006","AVA-FEAT-049","AVA-STORY-049","Metrics","Implement and verify peak-velocity definition/reference decision without replacing working systems.","Audited S1/P1 finding AVA-049.","AVA-049","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","AVA-0014","","One definition or remain hidden","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","Direct","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P1","S1","L","Medium","Blocked","Scientific beta","SPRINT-06","M3","false","Data or Scientific Engineer","2026-07-19 Sprint 06: peak velocity remains hidden pending AVA-0014","2026-07-18","2026-07-19"
"AVA-0050","Public launch scale/security program","AVA-EPIC-014","AVA-FEAT-050","AVA-STORY-050","Release","Implement and verify public launch scale/security program without replacing working systems.","Audited S1/P4 finding AVA-050.","AVA-050","Preserve canonical architecture; no unrelated scope expansion.","See feature-specific audit and repository inventory","","Closed beta","Independent launch gates pass","Relevant unit/contract tests;Integration or environment evidence required by definition of complete","Update tracker evidence and affected runbook/architecture document","Review","None","None","Feature flag or staged rollout when behavior changes","Document rollback before deployment","P4","S1","XL","Medium","Deferred","Closed beta","SPRINT-12","M6","true","Product or Operations Lead","","2026-07-18","2026-07-18"
"AVA-0051","Repair orchestration pgTAP plan contract","AVA-EPIC-012","AVA-FEAT-051","AVA-STORY-051","Tests","Make the existing orchestration database integration assertions emit a valid pgTAP plan without weakening their behavior.","Sprint 02 local database validation failed because orchestration_integration.sql produced no TAP plan.","SPRINT-02-DISC-001","Preserve orchestration behavior and assertions; fix only canonical database test-runner compatibility.","supabase/tests/orchestration_integration.sql","AVA-0030","","npx supabase test db passes with planned orchestration assertions","npx supabase test db;node project-tracker/validate_tracker.mjs","Update database test evidence and tracker","Review","None","None","Test-only change; no runtime rollout","Revert only the test harness change if it alters assertion semantics","P1","S2","S","High","Blocked","Foundation","SPRINT-11","M0","false","QA Engineer","2026-07-18: npx supabase test db ran 12 mobile tests successfully but failed because orchestration_integration.sql emitted no TAP plan","2026-07-18","2026-07-18"
